video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields,cohort_date_utc,selected_at_ts_utc,rank_on_selection,selection_order,title,description,tags
wSXyZ4pcyfU,sempio,2025-10-21,UCxUpAaVGPtZTi4CGWZlpCAQ,The Black Window,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,7,viewCount,GARLASCO SEMPIO RISCHIA LA GALERA PER FALSE INFORMAZIONI  #stasilibero #garlasco #viral,"IL FALSO SCONTRINO DEL PARCHEGGIO IN QUANTI AVETE MENTITO A SIT, è UN REATO PENALE MENTIRE, ...",STASILIBERO|GARLASCO|CHIARAPOGGI|caso Garlasco|Roberta Bruzzone|scuse Bruzzone|Bruzzone Stasi|Stasi innocente|errore giudiziario|cronaca nera italiana|The Black Window|verità su Stasi|mistero Garlasco|Bruzzone chiede scusa|Alberto Stasi|giustizia italiana|innocente condannato|caso Poggi|errori della giustizia|true crime italiano|video shock|analisi caso Garlasco|verità su Garlasco|notizie di cronaca|andreasempio|robertofreddi|mattiacapra|VENDITTIMARIO
ZpbXEMYBnUc,sempio,2025-10-21,UCxUpAaVGPtZTi4CGWZlpCAQ,The Black Window,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,8,viewCount,garlasco l&#39;archiviazione di sempio nel 2017 la motivazione #viral #stasilibero #garlasco,,
LlFPGwViiNg,sempio,2025-10-21,UCyTGgkq5xU9JR3JkQ5qodHA,GOSSIP OGGI NEWS,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,9,viewCount,GARLASCO: L&#39;AVVOCATO CONFESSA L&#39;ALIBI DI SEMPIO È FALSO,https://www.youtube.com/channel/UCyTGgkq5xU9JR3JkQ5qodHA?sub_confirmation=1 GARLASCO: L'AVVOCATO CONFESSA ...,GARLASCO: L'AVVOCATO CONFESSA L'ALIBI DI SEMPIO È FALSO
SGOKBDyTaGg,sempio,2025-10-21,UC3sju24sxBPV8Q-qrMynUvw,News X Te,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,10,viewCount,"GARLASCO, SEMPIO INTERCETTATO, ECCO COSA HA DETTO AI GENITORI &quot;FORSE HO PRE...","GARLASCO, SEMPIO INTERCETTATO, ECCO COSA HA DETTO AI GENITORI ""FORSE HO PRE... #casogarlasco ...",news x te|ultime notizie|notizie di cronaca|notizie di attualità|notizie in tempo reale|le notizie di oggi|notizie di gossip|gossip internazionale|notizie dal mondo|cronaca nera|cronaca rosa|gossip televisivo|cronaca nera vip|cronaca rosa vip|programmi tv|notizia virale|notizie di intrattenimento
OdeXzVlNsHM,sempio,2025-10-21,UC3lSNAP3ABGmOtP3s7vaRoA,Delitti Insoluti,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,11,viewCount,😱 SCOSSA NEL CASO GARLASCO: NUOVI DOCUMENTI CAMBIANO TUTTO! ANDREA SEMPIO ACCUSATO DI 2 NUOVI REATI,SCOSSA NEL CASO GARLASCO: NUOVI DOCUMENTI CAMBIANO TUTTO! ANDREA SEMPIO ACCUSATO DI 2 NUOVI REATI.,GARLASCO|GARLASCO SHOCK|omicidio garlasco|andrea sempio|omicidio|garlasco|sempio|Chiara Poggi|Poggi|Chiara|CASO GARLASCO|ALBERTO STASI|STASI|ANDREA SEMPIO|POGGI|PAOLA|MARCO POGGI|MARCO|SEMPIO|CASO|chiara poggi|ALBERTO|chiara|poggi|paola cappa|paola|cappa|crime|SCOSSA NEL CASO GARLASCO: NUOVI DOCUMENTI CAMBIANO TUTTO! ANDREA SEMPIO ACCUSATO DI 2 NUOVI REATI|NUOVI DOCUMENTI CAMBIANO TUTTO! ANDREA SEMPIO ACCUSATO DI 2 NUOVI REATI|ANDREA SEMPIO ACCUSATO DI 2 NUOVI REATI
3KS6RX8LExk,sempio,2025-10-21,UCCbr98jnZo-kwEp3_E7bn6Q,Laura Marinaro_La Zia in Giallo,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,12,viewCount,"Garlasco, al tel il nuovo legale di Sempio Cataliotti #casogarlasco #chiarapoggi #delittodigarlasco ",,
X-FJs2vkBGc,sempio,2025-10-21,UC3lSNAP3ABGmOtP3s7vaRoA,Delitti Insoluti,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,13,viewCount,SCANDALO NEL CASO GARLASCO: L’AVVOCATO LOVATI SMASCHERA L’ALIBI DI SEMPIO! LA MADRE DI CHIARA CROLLA,SCANDALO NEL CASO GARLASCO: L'AVVOCATO LOVATI SMASCHERA L'ALIBI DI SEMPIO! LA MADRE DI CHIARA CROLLA.,GARLASCO|GARLASCO SHOCK|omicidio garlasco|andrea sempio|omicidio|garlasco|sempio|Chiara Poggi|Poggi|Chiara|CASO GARLASCO|ALBERTO STASI|STASI|ANDREA SEMPIO|POGGI|PAOLA|MARCO POGGI|MARCO|SEMPIO|CASO|chiara poggi|ALBERTO|chiara|poggi|paola cappa|paola|cappa|crime|SCANDALO NEL CASO GARLASCO: L’AVVOCATO LOVATI SMASCHERA L’ALIBI DI SEMPIO! LA MADRE DI CHIARA CROLLA|L’AVVOCATO LOVATI SMASCHERA L’ALIBI DI SEMPIO! LA MADRE DI CHIARA CROLLA|LA MADRE DI CHIARA CROLLA
h_Pkb-dmKAE,sempio,2025-10-21,UCEbPHOvEuidvkaQnam3AaFw,Segreto Oscuro,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,14,viewCount,🚨 “LA MINACCIA NASCOSTA!” – ANALISI CHOC DELLE INTERCETTAZIONI DI SEMPIO: DISTRUGGERE TUTTI!,LA MINACCIA NASCOSTA!” – ANALISI CHOC DELLE INTERCETTAZIONI DI SEMPIO: DISTRUGGERE TUTTI!,
3y5w7QMQ1mI,sempio,2025-10-21,UCRYLl78jj8PAwogvkzXdpMA,Garlasco News,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,15,viewCount,21/10/2025 Le chiamate all’1 di notte di Sempio #shorts,garlasconews #garlasco.,
nK8Mvf-DCQE,sempio,2025-10-21,UC2CekWONK_rC74Tg8sPDmyQ,Spettegolando,2025-10-22T07:15:50.891233+00:00,title|description|tags,2025-10-21,2025-10-22T07:15:50.891233+00:00,16,viewCount,🔥 SCOPERTA CHOC a GARLASCO! ✍️ Sempio SCRIVE a Marco proprio a PASQUA ! 😳 ECCO La VERITÀ 😱,SCOPERTA CHOC a GARLASCO! ✍️ Sempio SCRIVE a Marco proprio a PASQUA ! ECCO La VERITÀ Benvenuti su ...,🔥 SCOPERTA CHOC a GARLASCO! ✍️ Sempio SCRIVE a Marco proprio a PASQUA ! 😳 ECCO La VERITÀ 😱
