video_id,as_of_date_utc,as_of_ts_utc,viewCount,likeCount,commentCount
g-9nqMIFcAc,2025-10-04,2025-10-05T07:00:36.890573+00:00,964,47,0
X-DlfhgJeXo,2025-10-04,2025-10-05T07:00:36.890579+00:00,595,4,0
Bjb-4YcYDG8,2025-10-04,2025-10-05T07:00:36.890585+00:00,38,6,0
K8y9CbYfg7I,2025-10-04,2025-10-05T07:00:36.890592+00:00,2,0,0
dIiKcoFnaxw,2025-10-04,2025-10-05T07:00:36.890600+00:00,0,0,0
iwbE9KBfCKM,2025-10-04,2025-10-05T07:00:36.890606+00:00,0,0,0
OxOcErJx40g,2025-10-04,2025-10-05T07:00:36.890613+00:00,9,1,0
-4ro8VpjJjI,2025-10-04,2025-10-05T07:00:36.890620+00:00,0,0,0
EolBlQ7gkks,2025-10-04,2025-10-05T07:00:36.890626+00:00,146,1,0
FG8uREsVO40,2025-10-04,2025-10-05T07:00:36.890633+00:00,422,47,4
o-xFdHZ0mN0,2025-10-04,2025-10-05T07:00:36.890640+00:00,264,1,0
9jXvoCNziig,2025-10-04,2025-10-05T07:00:36.890647+00:00,167,9,0
0IeIsZBI9aE,2025-10-05,2025-10-06T07:00:43.584652+00:00,211,3,0
EI00kj_fgSM,2025-10-05,2025-10-06T07:00:43.584705+00:00,87,9,0
OK5CiX698Pk,2025-10-05,2025-10-06T07:00:43.584716+00:00,460,28,1
7WXH-LJ3KK8,2025-10-05,2025-10-06T07:00:43.584725+00:00,726,59,9
EkDXgmAYdGI,2025-10-05,2025-10-06T07:00:43.584733+00:00,70,0,0
1U3Bx4ImWIY,2025-10-05,2025-10-06T07:00:43.584741+00:00,24,0,0
wJZiYiw6ZFw,2025-10-05,2025-10-06T07:00:43.584748+00:00,645,39,3
_pcnMsvM4dM,2025-10-05,2025-10-06T07:00:43.584756+00:00,8,1,0
Zb_o2BgeRv0,2025-10-05,2025-10-06T07:00:43.584763+00:00,3996,234,6
OxOcErJx40g,2025-10-05,2025-10-06T07:00:43.584771+00:00,10,1,0
-4ro8VpjJjI,2025-10-05,2025-10-06T07:00:43.584778+00:00,0,0,0
EolBlQ7gkks,2025-10-05,2025-10-06T07:00:43.584785+00:00,155,1,0
FG8uREsVO40,2025-10-05,2025-10-06T07:00:43.584791+00:00,442,47,4
o-xFdHZ0mN0,2025-10-05,2025-10-06T07:00:43.584798+00:00,306,1,0
9jXvoCNziig,2025-10-05,2025-10-06T07:00:43.584805+00:00,182,9,0
LxyYGZDwF2M,2025-10-05,2025-10-06T07:00:43.584811+00:00,5,1,0
b0I9Z4a-YVc,2025-10-05,2025-10-06T07:00:43.584818+00:00,185,1,0
